TIME,MODE,SPEED,TEMPERATURE,HUMIDITY,PREDICTED VALUE,REAL VALUE
21:23:41,LCD,1,33,83,8455,8455
21:23:42,LCD,1,33,83,542,542
21:23:43,LCD,1,33,83,4524,4524
21:23:44,LCD,1,33,83,9378,9378
21:23:45,LCD,1,33,83,3047,3047
21:23:47,LCD,1,33,83,1767,1767
21:23:47,LCD,1,33,83,5201,5201
21:23:48,LCD,1,33,83,2682,2682
21:23:49,LCD,1,33,83,8063,8063
21:23:50,LCD,1,33,83,6838,6838
21:23:51,LCD,1,33,83,6764,6764
21:23:53,LCD,1,33,83,3216,3216
21:23:54,LCD,1,33,83,5913,5913
21:23:55,LCD,1,33,83,4080,4080
21:23:56,LCD,1,33,83,4757,4757
21:23:57,LCD,1,33,83,2760,2760
21:23:58,LCD,1,33,83,8556,8556
21:23:59,LCD,1,33,83,9891,9891
21:24:00,LCD,1,33,83,2739,2739
21:24:01,LCD,1,33,83,4178,4178
21:24:02,LCD,1,33,83,3498,3498
21:24:03,LCD,1,33,83,7509,7509
21:24:04,LCD,1,33,83,5178,5178
21:24:05,LCD,0.5,33,83,9921,9921
21:24:06,LCD,0.5,33,83,947,947
21:24:07,LCD,0.5,33,83,8689,8689
21:24:07,LCD,0.5,33,83,9632,9632
21:24:08,LCD,0.5,33,83,7620,7620
21:24:09,LCD,0.5,33,83,7686,7686
21:24:09,LCD,0.5,33,83,1715,1715
21:24:10,LCD,0.5,33,83,981,981
21:24:10,LCD,0.5,33,83,2778,2778
21:24:11,LCD,0.5,33,83,2408,2408
21:24:11,LCD,0.5,33,83,9416,9416
21:24:12,LCD,0.5,33,83,2817,2817
21:24:13,LCD,0.5,33,83,3890,3890
21:24:13,LCD,0.5,33,83,6749,6749
21:24:14,LCD,0.5,33,83,7526,7526
21:24:14,LCD,0.5,33,83,341,341
21:24:15,LCD,0.5,33,83,6918,6918
21:24:15,LCD,0.5,33,83,4353,4353
21:24:16,LCD,0.5,33,83,4446,4446
21:24:17,LCD,0.5,33,83,4272,4272
21:24:17,LCD,0.5,33,83,9084,9084
21:24:18,LCD,0.5,33,83,8137,8137
21:24:18,LCD,0.5,33,83,2194,2194
21:24:19,LCD,0.5,33,83,8164,8164
21:24:19,LCD,0.5,33,83,4025,4025
21:24:20,LCD,0.5,33,83,3416,3416
21:24:21,LCD,0.5,33,83,8483,8483
21:24:21,LCD,0.5,33,83,3878,3878
21:24:22,LCD,0.5,33,83,6327,6327
21:24:22,LCD,0.5,33,83,3288,3288
21:24:23,LCD,0.5,33,83,6433,6433
21:24:23,LCD,0.5,33,83,910,910
21:24:24,LCD,0.5,33,83,2479,2479
21:24:25,LCD,0.5,33,83,9110,9110
21:24:25,LCD,0.5,33,83,5313,5313
21:24:26,LCD,0.5,33,83,9447,9447
