TIME,MODE,SPEED,VALUE,TEMPERATURE,HUMIDITY
09:55:01,LCD,1,4,30,98
09:55:02,LCD,1,4,30,98
09:55:02,LCD,1,4,30,98
09:55:02,LCD,1,4,30,98
09:55:02,LCD,1,4,30,98
09:55:02,LCD,1,4,30,98
09:55:03,LCD,1,4,30,98
09:55:04,LCD,1,4,30,98
09:55:06,LCD,1,4,30,98
09:55:07,LCD,1,4,30,98
09:55:08,LCD,1,4,30,98
09:55:09,LCD,1,4,30,98
09:55:10,LCD,1,4,30,98
09:55:11,LCD,1,4,30,98
09:55:25,LCD,1,444,30,98
09:55:25,LCD,1,4446,30,98
09:55:25,LCD,1,4446,30,98
09:55:25,LCD,1,4446,30,98
09:55:25,LCD,1,2260,30,98
09:55:26,LCD,1,1724,30,98
09:55:27,LCD,1,654,30,98
09:55:29,LCD,1,965,30,98
09:55:30,LCD,1,844,30,98
09:55:31,LCD,1,760,30,98
09:55:32,LCD,1,1786,30,98
09:55:33,LCD,1,86,30,98
09:55:34,LCD,1,202,30,98
09:55:35,LCD,1,195,30,98
09:55:36,LCD,1,2223,30,98
09:55:37,LCD,1,244,30,98
09:55:38,LCD,1,4495,30,98
09:55:39,LCD,1,1214,30,98
09:55:40,LCD,1,997,30,98
09:55:41,LCD,1,608,30,98
09:55:42,LCD,1,632,30,98
09:55:44,LCD,1,788,30,98
09:55:45,LCD,1,160,30,98
09:55:46,LCD,1,2976,30,98
09:55:47,LCD,1,257,30,98
09:55:48,LCD,1,064,30,98
09:55:49,LCD,1,656,30,98
09:55:50,LCD,1,4183,30,98
09:55:51,LCD,1,640,30,98
09:55:52,LCD,1,9,30,98
09:55:53,LCD,1,325,30,98
09:55:54,LCD,1,1465,30,98
09:55:55,LCD,1,449,30,98
09:55:56,LCD,1,4535,30,98
09:55:57,LCD,1,966,30,98
09:55:59,LCD,1,2110,30,98
09:56:00,LCD,1,2554,30,98
09:56:01,LCD,1,814,30,98
09:56:02,LCD,1,443,30,98
09:56:03,LCD,1,2795,30,98
09:56:04,LCD,1,7996,30,98
09:56:05,LCD,1,4205,30,98
09:56:06,LCD,1,383,30,98
09:56:07,LCD,1,225,30,98
09:56:08,LCD,1,390,30,98
09:56:09,LCD,1,207,30,98
09:56:10,LCD,1,144,30,98
09:56:11,LCD,1,4454,30,98
09:56:13,LCD,1,563,30,98
09:56:14,LCD,1,052,30,98
09:56:15,LCD,1,4444,30,98
09:56:16,LCD,1,4330,30,98
09:56:17,LCD,1,304,30,98
09:56:18,LCD,1,1237,30,98
09:56:19,LCD,1,325,30,98
09:56:20,LCD,1,628,30,98
09:56:22,LCD,1,196,30,95
09:56:23,LCD,1,504,30,95
09:56:24,LCD,1,226,30,95
09:56:25,LCD,1,902,30,95
09:56:26,LCD,1,4945,30,95
09:56:27,LCD,1,724,30,95
09:56:29,LCD,1,808,30,95
09:56:30,LCD,1,2444,30,95
09:56:31,LCD,1,2522,30,95
09:56:32,LCD,1,1506,30,95
09:56:33,LCD,1,4579,30,95
09:56:34,LCD,1,917,30,95
