                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8014,                 3.7265,                 1.3304,                 0.1572,                 0.2974,                0.18099,                0.13449,                0.92523,                 2.7074,                0.88867,             0.00023499,             0.00023499,             0.00023499
                      2,                 1.5802,                 2.4065,                 1.1998,                0.43765,                0.62216,                 0.5245,                0.40792,                0.81964,                 1.8347,                0.86378,             0.00046362,             0.00046362,             0.00046362
                      3,                 1.4512,                 1.9122,                 1.1709,                0.84693,                0.75051,                0.89044,                0.66851,                0.92461,                 1.0993,                0.91695,             0.00068283,             0.00068283,             0.00068283
                      4,                 1.4048,                 1.5577,                 1.1724,                0.93115,                 0.9267,                0.98419,                0.75295,                0.88737,                 1.0184,                0.91037,             0.00067159,             0.00067159,             0.00067159
                      5,                  1.358,                 1.3423,                 1.1471,                0.97339,                0.98323,                0.99417,                0.78118,                0.82725,                 0.6855,                0.89475,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.3211,                 1.2384,                 1.1335,                0.97502,                0.98983,                 0.9939,                0.76021,                 0.8553,                 0.6571,                0.90489,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.2781,                 1.1791,                 1.1386,                0.99279,                0.98394,                0.99448,                0.79645,                0.77671,                0.56673,                0.87728,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.2347,                 1.0883,                 1.1011,                0.98724,                0.98826,                0.99496,                0.80401,                0.75259,                0.57864,                0.86936,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.2043,                 1.0569,                 1.0901,                0.98632,                0.99603,                0.99489,                0.80799,                0.75186,                0.53793,                0.86917,             0.00061504,             0.00061504,             0.00061504
                     10,                  1.201,                  1.044,                 1.0962,                0.98399,                0.99729,                0.99484,                 0.8269,                 0.7087,                0.51032,                0.86207,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.1504,                 1.0008,                 1.0665,                0.99447,                0.99708,                  0.995,                0.81036,                0.74963,                 0.5077,                0.87482,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.1306,                0.97305,                 1.0668,                0.98621,                0.99859,                0.99498,                0.81634,                0.74491,                0.48376,                0.87139,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.1168,                0.93896,                 1.0607,                0.99436,                0.99866,                  0.995,                0.81544,                0.73062,                0.48099,                0.86622,             0.00055849,             0.00055849,             0.00055849
                     14,                  1.115,                0.91926,                 1.0575,                0.99338,                0.99831,                  0.995,                0.81981,                0.71135,                 0.4846,                0.85855,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.0688,                0.90527,                 1.0401,                0.99312,                0.99789,                  0.995,                  0.819,                0.71406,                0.45949,                 0.8595,             0.00053022,             0.00053022,             0.00053022
                     16,                 1.0925,                0.91112,                 1.0579,                 0.9928,                0.99515,                0.99498,                 0.8231,                0.69891,                0.47679,                0.85678,             0.00051608,             0.00051608,             0.00051608
                     17,                 1.0562,                0.87492,                 1.0391,                0.99303,                0.99958,                  0.995,                 0.8159,                0.72095,                0.46007,                0.86233,             0.00050194,             0.00050194,             0.00050194
                     18,                 1.0454,                0.86082,                 1.0281,                0.99563,                0.99661,                  0.995,                0.80676,                 0.7436,                0.46121,                0.86345,              0.0004878,              0.0004878,              0.0004878
                     19,                 1.0316,                0.82638,                 1.0229,                0.99489,                0.99759,                  0.995,                0.83361,                0.67319,                0.43172,                0.84931,             0.00047367,             0.00047367,             0.00047367
                     20,                 1.0017,                0.81606,                 1.0103,                0.99111,                0.99777,                  0.995,                0.83164,                0.68885,                0.44148,                0.85141,             0.00045953,             0.00045953,             0.00045953
                     21,                 1.0164,                0.81556,                 1.0222,                0.99603,                0.99661,                  0.995,                0.82734,                0.68773,                0.43394,                0.84859,             0.00044539,             0.00044539,             0.00044539
                     22,                 1.0182,                 0.8112,                 1.0141,                 0.9927,                0.99885,                  0.995,                0.82833,                0.68828,                0.42714,                0.85343,             0.00043126,             0.00043126,             0.00043126
                     23,                0.99953,                0.80074,                 1.0082,                0.99206,                0.99853,                  0.995,                  0.829,                0.69536,                0.43098,                 0.8542,             0.00041712,             0.00041712,             0.00041712
