                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3963,                 3.7261,                  1.385,                0.01291,                      1,                0.22017,                0.16898,                 0.7904,                 3.2721,                0.86098,             0.00023367,             0.00023367,             0.00023367
                      2,                 1.2896,                 2.5651,                 1.2814,                 0.6414,                0.66783,                0.75174,                0.60747,                0.76343,                  2.072,                0.93531,             0.00042498,             0.00042498,             0.00042498
                      3,                 1.2118,                 1.9655,                 1.2543,                0.90811,                0.93909,                0.96299,                0.77397,                0.76781,                 1.0129,                0.94406,             0.00056916,             0.00056916,             0.00056916
                      4,                 1.1248,                 1.5603,                 1.1894,                0.94348,                0.95827,                0.96463,                0.78674,                0.73432,                0.82967,                 0.9326,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.0992,                 1.3434,                 1.1684,                0.95627,                0.98268,                0.97302,                0.79151,                0.74533,                0.74795,                0.92767,             0.00043126,             0.00043126,             0.00043126
                      6,                 1.0771,                 1.2423,                 1.1621,                0.95618,                0.98455,                0.97688,                0.80643,                0.68812,                0.69186,                0.91908,             0.00036057,             0.00036057,             0.00036057
                      7,                 1.0187,                 1.1009,                 1.1405,                0.96925,                0.98564,                0.97227,                0.81797,                0.66771,                0.65481,                0.91431,             0.00028988,             0.00028988,             0.00028988
                      8,                0.98675,                 1.0724,                 1.1086,                0.96838,                0.98529,                0.97653,                0.82093,                0.66084,                0.62925,                0.90906,              0.0002192,              0.0002192,              0.0002192
                      9,                0.93634,                0.99654,                 1.0894,                0.96746,                0.98501,                0.97369,                0.82237,                0.65152,                0.61522,                0.90366,             0.00014851,             0.00014851,             0.00014851
                     10,                 0.9314,                0.97254,                 1.0847,                0.96891,                0.98661,                0.97361,                 0.8248,                0.64078,                 0.5942,                0.90105,             7.7826e-05,             7.7826e-05,             7.7826e-05
